Wall,599.66,736.753,132.199,138.399
,1099.02,761.646,564.71,308.01
,873.67,737,125.599,121.199
Wall,1040.83,754.993,50,205.004
Wall,1.83963,-0.460252,23.8002,1085.98
,2.90205,1029.73,1147.57,47
,1038.77,737.118,50,8.40018
,1967.76,582.475,150.3,24.3002
,1719.42,944.956,457.619,136.399
Wall,2171.17,921.09,10.7002,23.9002
,2249.18,734.956,675.882,123.599
Wall,2954.41,738.285,56.7999,207.204
,3019.63,757.956,611.398,235.405
Wall,3472.63,592.248,283.108,141
,3642.35,944.248,530.318,100.399
,3891.4,584.419,145.4,22.9002
,4170.22,731.248,664.785,207.804
Wall,4080.22,888.248,92.9993,53.5999
Wall,4877.22,740.248,50,208.904
,4930.22,763.248,625.495,253.506
Wall,5392.89,588.248,282.308,146.4
,5559.89,945.248,536.016,128.599
,5810.49,582.142,144.9,24.0002
,6094.53,733.248,660.686,224.605
,6796.72,735.248,52.8,209.604
,6002.87,892.408,90.2994,55.6999
,6850.79,759.757,621.795,273.008
,7315.87,589.804,279.208,142.6
Wall,200.738,636.253,73.9996,46.2001
,49.6974,578.669,147.6,27.4003
,743.364,737.303,122.599,120.099
Collectable,936.105,673.284,50,50
,332.797,740.769,260.907,125.699
,1561.64,589.553,263.207,138.199
Wall,1668.14,762.782,50,183.502
Wall,1559.17,711,50,50
,2175.95,888.556,81.4995,52.5
,2954.17,816,50,50
Wall,3585.49,759,50,189.403
Collectable,6160.92,671.206,50,50
Collectable,5587.41,528.878,50,50
Collectable,3948.23,517.968,50,50
Collectable,3654.47,880.356,50,50
Collectable,2957.45,675.731,50,50
Collectable,2023.09,508.97,50,50
Collectable,1733.57,881.896,50,50
Collectable,6908.4,692.102,50,50
Collectable,254.733,582,50,50
